City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
248,Can Tho,VN,76.98,10.0333,105.7833,Kim Lan Hotel Can Tho
251,Yarada,IN,81.52,17.65,83.2667,Jeevan
254,Nieuw Amsterdam,SR,84.36,5.8833,-55.0833,Globe Hotel
255,Bandarbeyla,SO,77.54,9.4942,50.8122,JABIR HOTEL
257,Banda Aceh,ID,79.32,5.5577,95.3222,Sulthan Hotel International
262,Hambantota,LK,79.14,6.1241,81.1185,Bungalow 63
264,Dire,ML,76.48,12.2833,-10.9667,
265,Broome,US,79.86,42.2506,-75.833,Chenango Valley State Park
266,Finschhafen,PG,78.37,-6.6024,147.8681,Cossam Guest House
267,Sindou,BF,75.9,10.6667,-5.1667,LERABA HOTEL
272,North Bend,US,75.24,43.4065,-124.2243,Red Lion Hotel Coos Bay
277,El Tigre,VE,81.7,8.8875,-64.2454,Hotel Santa Cruz
280,Port Jervis,US,84.15,41.3751,-74.6927,Hampton Inn Matamoras/Milford
282,Padang,ID,75.74,-0.9492,100.3543,Mercure Padang
283,Praya,CV,75.74,14.9215,-23.5087,LT Aparthotel
284,Salalah,OM,80.69,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
292,Makakilo City,US,84.52,21.3469,-158.0858,Marriott's Ko Olina Beach Club
294,Brewster,US,78.91,41.3973,-73.6171,Heidi's Inn
296,Umm Lajj,SA,86.86,25.0213,37.2685,Moon light Furnished Units
298,Lazaro Cardenas,MX,83.88,17.9583,-102.2,quinta antigua
302,Dinhata,IN,82.26,26.1333,89.4667,Hotel Riya
307,Kahului,US,86.02,20.8947,-156.47,Maui Seaside Hotel
311,Wilmington,US,88.99,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
312,Inirida,CO,79.18,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
315,Lorengau,PG,83.84,-2.0226,147.2712,Lorengau Harbourside Hotel
318,Victoria,HK,86.32,22.2855,114.1577,Mini Hotel Central
323,Awjilah,LY,89.6,29.1081,21.2869,
324,Negombo,LK,82.45,7.2083,79.8358,Hotel Sunset Beach
332,Portobelo,PA,80.96,9.55,-79.65,Scuba Portobelo
333,Nara,JP,77.5,34.6851,135.8049,Guesthouse Nara Komachi
334,Boyuibe,BO,84.11,-20.4167,-63.2833,Residencial Eluzai
335,Fukue,JP,79.52,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
336,Ouidah,BJ,77.81,6.3631,2.0851,Le Jardin Secret Ouidah
342,Kijang,KR,82.13,35.2442,129.2139,Samyang Beach Villa
346,Cockburn Town,TC,81.97,21.4612,-71.1419,Osprey Beach Hotel
347,Westlock,CA,84.11,54.1502,-113.8688,Ramada by Wyndham Westlock
353,Parral,MX,80.6,26.9333,-105.6667,HOTEL LOS ARCOS PARRAL
355,Muzaffarpur,IN,78.73,26.1167,85.4,Hotel Ranjeet
357,Hami,CN,79.25,42.8,93.45,Laoyutang Resort
358,Norman Wells,CA,78.85,65.282,-126.8329,Heritage Hotel
359,Puerto Escondido,MX,85.03,15.85,-97.0667,Aldea del Bazar Hotel and Spa
362,Trinidad,BO,84.18,-14.8333,-64.9,Hotel Piesta
363,Jizan,SA,89.82,17.3333,42.6667,شهدان. ابوالحجر
369,Aquiraz,BR,82.49,-3.9014,-38.3911,Pousada Rua Camurupim
370,Nong Phai,TH,76.14,15.9903,101.0618,เอ็ม.เจ รีสอร์ท
371,Catuday,PH,80.31,16.2923,119.8062,Benjie's Kubo & Cottages
373,Mecca,SA,89.92,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
377,Jhawarian,PK,82.17,32.3614,72.6228,Asif Sweet Villas homes
381,Jaleswar,NP,83.64,26.6471,85.8008,Sundar Mobile Repairing Centre
382,Cam Ranh,VN,76.96,11.9214,109.1591,OYO 598 Peony Hotel
385,Maunabo,PR,85.64,18.0072,-65.8993,Maunacaribe
386,Mount Vernon,US,82.29,40.9126,-73.8371,Ramada by Wyndham Bronx
387,Ambon,ID,77.14,-3.6954,128.1814,Swiss-Belhotel Ambon
389,Ascension,US,86.09,30.2169,-90.9001,Highland Inn
397,Pauini,BR,83.37,-7.7136,-66.9764,Casa do Kiwliks
404,Manokwari,ID,78.91,-0.8667,134.0833,Swiss Belhotel Manokwari
412,Cape Canaveral,US,86.07,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
413,San Onofre,CO,83.08,9.7359,-75.5263,Hotel Sinai
414,Abu Samrah,SY,77.31,35.3029,37.1841,
417,Kavaratti,IN,82.53,10.5669,72.642,Hotels in Lakshadweep Islands
