City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Bukachacha,RU,2021-04-19 14:07:38,52.9833,116.9167,25.86,23,11,2.3
59,Lethem,GY,2021-04-19 14:07:39,3.3803,-59.7968,84.38,52,65,11.54
60,Dingle,PH,2021-04-19 14:07:39,10.9995,122.6711,77.94,78,100,9.44
61,Kununurra,AU,2021-04-19 14:07:39,-15.7667,128.7333,68.0,88,37,2.21
62,Kodiak,US,2021-04-19 14:03:04,57.79,-152.4072,44.6,76,90,17.27
63,Buchanan,LR,2021-04-19 14:07:40,5.8808,-10.0467,75.2,94,75,4.61
64,Tiksi,RU,2021-04-19 14:07:40,71.6872,128.8694,-5.1,99,47,4.59
65,Jamestown,US,2021-04-19 14:07:40,42.097,-79.2353,55.0,66,1,6.91
66,Gat,IL,2021-04-19 14:07:41,31.61,34.7642,100.0,15,100,4.0
67,Leningradskiy,RU,2021-04-19 14:07:41,69.3833,178.4167,18.01,81,5,9.95
68,Qaanaaq,GL,2021-04-19 14:07:41,77.484,-69.3632,6.39,77,100,6.67
69,Havre-Saint-Pierre,CA,2021-04-19 14:07:42,50.2334,-63.5986,42.8,93,90,8.05
70,Hobart,AU,2021-04-19 14:07:42,-42.8794,147.3294,60.01,55,90,8.05
71,Fenoarivo,MG,2021-04-19 14:07:42,-18.933,47.4354,68.0,73,75,10.36
72,Atar,MR,2021-04-19 14:07:43,20.5169,-13.0499,98.64,5,0,7.94
73,Sao Joao Da Barra,BR,2021-04-19 14:07:43,-21.6403,-41.0511,80.6,69,40,8.05
74,Manacapuru,BR,2021-04-19 14:02:48,-3.2997,-60.6206,78.8,89,75,2.3
75,Svetlyy,RU,2021-04-19 14:07:43,54.675,20.1347,66.2,32,0,11.18
76,Anadyr,RU,2021-04-19 14:07:44,64.75,177.4833,15.8,86,20,6.71
77,Arraial Do Cabo,BR,2021-04-19 14:07:44,-22.9661,-42.0278,80.6,69,75,16.11
78,Albany,US,2021-04-19 14:06:56,42.6001,-73.9662,57.99,46,40,2.62
79,Norman Wells,CA,2021-04-19 14:07:44,65.282,-126.8329,28.4,74,1,2.3
